Primary Type	Description	Meta Category
INTIMIDATION	INTIMIDATION	Violent Crimes
KIDNAPPING	AGGRAVATED	Violent Crimes
KIDNAPPING	CHILD ABDUCTION/STRANGER	Violent Crimes
KIDNAPPING	FORCIBLE DETENTION	Violent Crimes
KIDNAPPING	KIDNAPPING	Violent Crimes
KIDNAPPING	UNLAWFUL INTERFERE/VISITATION	Other
KIDNAPPING	UNLAWFUL RESTRAINT	Other
LIQUOR LAW VIOLATION	ILLEGAL CONSUMPTION BY MINOR	Other
LIQUOR LAW VIOLATION	ILLEGAL POSSESSION BY MINOR	Other
LIQUOR LAW VIOLATION	LIQUOR LICENSE VIOLATION	Other
LIQUOR LAW VIOLATION	MINOR MISREPRESENT AGE	Other
LIQUOR LAW VIOLATION	SELL/GIVE/DEL LIQUOR TO MINOR	Other
MOTOR VEHICLE THEFT	ATT: AUTOMOBILE	Non-Violent Property Crime
MOTOR VEHICLE THEFT	"ATT: TRUCK, BUS, MOTOR HOME"	Non-Violent Property Crime
MOTOR VEHICLE THEFT	"ATTEMPT: CYCLE, SCOOTER, BIKE W-VIN"	Non-Violent Property Crime
MOTOR VEHICLE THEFT	AUTOMOBILE	Non-Violent Property Crime
MOTOR VEHICLE THEFT	"CYCLE, SCOOTER, BIKE NO VIN"	Non-Violent Property Crime
MOTOR VEHICLE THEFT	"CYCLE, SCOOTER, BIKE W-VIN"	Non-Violent Property Crime
MOTOR VEHICLE THEFT	THEFT/RECOVERY: AUTOMOBILE	Non-Violent Property Crime
MOTOR VEHICLE THEFT	"THEFT/RECOVERY: CYCLE, SCOOTER, BIKE NO VIN"	Non-Violent Property Crime
MOTOR VEHICLE THEFT	"THEFT/RECOVERY: CYCLE, SCOOTER, BIKE W-VIN"	Non-Violent Property Crime
MOTOR VEHICLE THEFT	"THEFT/RECOVERY: TRUCK,BUS,MHOME"	Non-Violent Property Crime
MOTOR VEHICLE THEFT	"TRUCK, BUS, MOTOR HOME"	Non-Violent Property Crime
NARCOTICS	ALTER/FORGE PRESCRIPTION	Other
NARCOTICS	ATTEMPT POSSESSION CANNABIS	Other
NARCOTICS	ATTEMPT POSSESSION NARCOTICS	Other
NARCOTICS	CANNABIS PLANT	Other
NARCOTICS	CONT SUBS:FAIL TO MAINT RECORD	Other
NARCOTICS	CRIMINAL DRUG CONSPIRACY	Other
NARCOTICS	DEL CONT SUBS TO PERSON <18	Other
NARCOTICS	FORFEIT PROPERTY	Other
NARCOTICS	FOUND SUSPECT NARCOTICS	Other
NARCOTICS	MANU/DEL:CANNABIS 10GM OR LESS	Other
NARCOTICS	MANU/DEL:CANNABIS OVER 10 GMS	Other
NARCOTICS	MANU/DELIVER: HALLUCINOGEN	Other
NARCOTICS	MANU/DELIVER: HEROIN (WHITE)	Other
NARCOTICS	MANU/DELIVER: HEROIN(BRN/TAN)	Other
NARCOTICS	MANU/DELIVER: METHAMPHETAMINES	Other
NARCOTICS	MANU/DELIVER:AMPHETAMINES	Other
NARCOTICS	MANU/DELIVER:BARBITUATES	Other
NARCOTICS	MANU/DELIVER:COCAINE	Other
NARCOTICS	MANU/DELIVER:CRACK	Other
NARCOTICS	MANU/DELIVER:HEROIN(BLACK TAR)	Other
NARCOTICS	MANU/DELIVER:LOOK-ALIKE DRUG	Other
NARCOTICS	MANU/DELIVER:PCP	Other
NARCOTICS	MANU/DELIVER:SYNTHETIC DRUGS	Other
NARCOTICS	MANU/POSS. W/INTENT TO DELIVER: SYNTHETIC MARIJUANA	Other
NARCOTICS	POS: HYPODERMIC NEEDLE	Other
NARCOTICS	POSS: AMPHETAMINES	Other
NARCOTICS	POSS: BARBITUATES	Other
NARCOTICS	POSS: CANNABIS 30GMS OR LESS	Other
NARCOTICS	POSS: CANNABIS MORE THAN 30GMS	Other
NARCOTICS	POSS: COCAINE	Other
NARCOTICS	POSS: CRACK	Other
NARCOTICS	POSS: HALLUCINOGENS	Other
NARCOTICS	POSS: HEROIN(BLACK TAR)	Other
NARCOTICS	POSS: HEROIN(BRN/TAN)	Other
NARCOTICS	POSS: HEROIN(WHITE)	Other
NARCOTICS	POSS: LOOK-ALIKE DRUGS	Other
NARCOTICS	POSS: METHAMPHETAMINES	Other
NARCOTICS	POSS: PCP	Other
NARCOTICS	POSS: SYNTHETIC DRUGS	Other
NARCOTICS	POSSESSION OF DRUG EQUIPMENT	Other
NARCOTICS	POSSESSION: SYNTHETIC MARIJUANA	Other
NARCOTICS	SALE/DEL DRUG PARAPHERNALIA	Other
NARCOTICS	SOLICIT NARCOTICS ON PUBLICWAY	Other
NON - CRIMINAL	FOID - REVOCATION	Other
NON-CRIMINAL	CONCEALED CARRY LICENSE REVOCATION	Other
NON-CRIMINAL	FOID - REVOCATION	Other
NON-CRIMINAL	FOUND PASSPORT	Other
NON-CRIMINAL	GUN OFFENDER NOTIFICATION-NO CONTACT	Other
NON-CRIMINAL	LOST PASSPORT	Other
NON-CRIMINAL	NOTIFICATION OF STALKING - NO CONTACT ORDER	Other
OBSCENITY	OBSCENE MATTER	Other
OBSCENITY	OBSCENITY	Other
OBSCENITY	SALE/DIST OBSCENE MAT TO MINOR	Other
OFFENSE INVOLVING CHILDREN	AGG CRIM SEX ABUSE FAM MEMBER	Violent Crimes
OFFENSE INVOLVING CHILDREN	AGG SEX ASSLT OF CHILD FAM MBR	Violent Crimes
OFFENSE INVOLVING CHILDREN	CHILD ABANDONMENT	Violent Crimes
OFFENSE INVOLVING CHILDREN	CHILD ABDUCTION	Violent Crimes
OFFENSE INVOLVING CHILDREN	CHILD ABUSE	Violent Crimes
OFFENSE INVOLVING CHILDREN	CHILD PORNOGRAPHY	Other
OFFENSE INVOLVING CHILDREN	CONTRIBUTE CRIM DELINQUENCY JUVENILE	Other
OFFENSE INVOLVING CHILDREN	CONTRIBUTE DELINQUENCY OF A CHILD	Other
OFFENSE INVOLVING CHILDREN	CRIM SEX ABUSE BY FAM MEMBER	Violent Crimes
OFFENSE INVOLVING CHILDREN	ENDANGERING LIFE/HEALTH CHILD	Other
OFFENSE INVOLVING CHILDREN	HARBOR RUNAWAY	Other
OFFENSE INVOLVING CHILDREN	OTHER OFFENSE	Other
OFFENSE INVOLVING CHILDREN	POS: PORNOGRAPHIC PRINT	Other
OFFENSE INVOLVING CHILDREN	SALE TOBACCO PRODUCTS TO MINOR	Other
OFFENSE INVOLVING CHILDREN	SEX ASSLT OF CHILD BY FAM MBR	Violent Crimes
OTHER NARCOTIC VIOLATION	INTOXICATING COMPOUNDS	Other
OTHER OFFENSE	ABUSE/NEGLECT: CARE FACILITY	Violent Crimes
OTHER OFFENSE	ANIMAL ABUSE/NEGLECT	Violent Crimes
OTHER OFFENSE	ANIMAL FIGHTING	Violent Crimes
OTHER OFFENSE	ARSONIST: ANNUAL REGISTRATION	Other
OTHER OFFENSE	BOARD PLANE WITH WEAPON	Other
OTHER OFFENSE	EAVESDROPPING	Other
OTHER OFFENSE	FALSE/STOLEN/ALTERED TRP	Other
OTHER OFFENSE	GUN OFFENDER: ANNUAL REGISTRATION	Other
OTHER OFFENSE	GUN OFFENDER: DUTY TO REGISTER	Other
OTHER OFFENSE	GUN OFFENDER: DUTY TO REPORT CHANGE OF INFORMATION	Other
OTHER OFFENSE	HARASSMENT BY ELECTRONIC MEANS	Other
OTHER OFFENSE	HARASSMENT BY TELEPHONE	Other
OTHER OFFENSE	HAZARDOUS MATERIALS VIOLATION	Other
OTHER OFFENSE	INTERFERE W/ HIGHER EDUCATION	Other
OTHER OFFENSE	LICENSE VIOLATION	Other
OTHER OFFENSE	OBSCENE TELEPHONE CALLS	Other
OTHER OFFENSE	OTHER ARSON/EXPLOSIVE INCIDENT	Non-Violent Property Crime
OTHER OFFENSE	OTHER CRIME AGAINST PERSON	Violent Crimes
OTHER OFFENSE	OTHER CRIME INVOLVING PROPERTY	Non-Violent Property Crime
OTHER OFFENSE	OTHER VEHICLE OFFENSE	Other
OTHER OFFENSE	OTHER WEAPONS VIOLATION	Other
OTHER OFFENSE	PAROLE VIOLATION	Other
OTHER OFFENSE	POSSESSION OF BURGLARY TOOLS	Other
OTHER OFFENSE	PROBATION VIOLATION	Other
OTHER OFFENSE	SEX OFFENDER: FAIL REG NEW ADD	Other
OTHER OFFENSE	SEX OFFENDER: FAIL TO REGISTER	Other
OTHER OFFENSE	SEX OFFENDER: PROHIBITED ZONE	Other
OTHER OFFENSE	TAMPER WITH MOTOR VEHICLE	Other
OTHER OFFENSE	TELEPHONE THREAT	Other
OTHER OFFENSE	VEHICLE TITLE/REG OFFENSE	Other
OTHER OFFENSE	VIO BAIL BOND: DOM VIOLENCE	Other
OTHER OFFENSE	VIOLATE ORDER OF PROTECTION	Other
OTHER OFFENSE	VIOLATION GPS MONITORING DEVICE	Other
OTHER OFFENSE	VIOLATION OF CIVIL NO CONTACT ORDER	Other
OTHER OFFENSE	VIOLATION OF SMOKING BAN	Other
OTHER OFFENSE	VIOLENT OFFENDER: ANNUAL REGISTRATION	Other
OTHER OFFENSE	VIOLENT OFFENDER: DUTY TO REGISTER	Other
OTHER OFFENSE	VIOLENT OFFENDER: FAIL TO REGISTER NEW ADDRESS	Other
PROSTITUTION	CALL OPERATION	Other
PROSTITUTION	IN TAVERN	Other
PROSTITUTION	OTHER PROSTITUTION OFFENSE	Other
PROSTITUTION	PANDERING	Other
PROSTITUTION	PATRONIZE JUVENILE PROSTITUTE	Other
PROSTITUTION	PATRONIZING A PROSTITUTE	Other
PROSTITUTION	PIMPING	Other
PROSTITUTION	SOLICIT FOR BUSINESS	Other
PROSTITUTION	SOLICIT FOR PROSTITUTE	Other
PROSTITUTION	SOLICIT OFF PUBLIC WAY	Other
PROSTITUTION	SOLICIT ON PUBLIC WAY	Other
PUBLIC INDECENCY	LICENSED PREMISE	Other
PUBLIC PEACE VIOLATION	ARSON THREAT	Other
PUBLIC PEACE VIOLATION	BOMB THREAT	Other
PUBLIC PEACE VIOLATION	FALSE FIRE ALARM	Other
PUBLIC PEACE VIOLATION	FALSE POLICE REPORT	Other
PUBLIC PEACE VIOLATION	MOB ACTION	Other
PUBLIC PEACE VIOLATION	OTHER VIOLATION	Other
PUBLIC PEACE VIOLATION	PEEPING TOM	Other
PUBLIC PEACE VIOLATION	PUBLIC DEMONSTRATION	Other
PUBLIC PEACE VIOLATION	RECKLESS CONDUCT	Other
PUBLIC PEACE VIOLATION	SELL/ADVERTISE FIREWORKS	Other
ROBBERY	AGGRAVATED	Violent Crimes
ROBBERY	AGGRAVATED VEHICULAR HIJACKING	Violent Crimes
ROBBERY	ARMED: HANDGUN	Violent Crimes
ROBBERY	ARMED: OTHER DANGEROUS WEAPON	Violent Crimes
ROBBERY	ARMED: OTHER FIREARM	Violent Crimes
ROBBERY	ARMED:KNIFE/CUTTING INSTRUMENT	Violent Crimes
ROBBERY	ATTEMPT: AGGRAVATED	Violent Crimes
ROBBERY	ATTEMPT: ARMED-HANDGUN	Violent Crimes
ROBBERY	ATTEMPT: ARMED-KNIFE/CUT INSTR	Violent Crimes
ROBBERY	ATTEMPT: ARMED-OTHER DANG WEAP	Violent Crimes
ROBBERY	ATTEMPT: ARMED-OTHER FIREARM	Violent Crimes
ROBBERY	ATTEMPT: STRONGARM-NO WEAPON	Violent Crimes
ROBBERY	STRONGARM - NO WEAPON	Violent Crimes
ROBBERY	VEHICULAR HIJACKING	Violent Crimes
SEX OFFENSE	AGG CRIMINAL SEXUAL ABUSE	Violent Crimes
SEX OFFENSE	ATT AGG CRIMINAL SEXUAL ABUSE	Violent Crimes
SEX OFFENSE	ATT CRIM SEXUAL ABUSE	Violent Crimes
SEX OFFENSE	BIGAMY	Other
SEX OFFENSE	CRIMINAL SEXUAL ABUSE	Violent Crimes
SEX OFFENSE	CRIMINAL TRANSMISSION OF HIV	Violent Crimes
SEX OFFENSE	INDECENT SOLICITATION/ADULT	Other
SEX OFFENSE	INDECENT SOLICITATION/CHILD	Other
SEX OFFENSE	OTHER	Other
SEX OFFENSE	PUBLIC INDECENCY	Other
SEX OFFENSE	SEX RELATION IN FAMILY	Other
SEX OFFENSE	SEXUAL EXPLOITATION OF A CHILD	Violent Crimes
STALKING	AGGRAVATED	Other
STALKING	CYBERSTALKING	Other
STALKING	SIMPLE	Other
STALKING	VIOLATION OF STALKING NO CONTACT ORDER	Other
THEFT	$500 AND UNDER	Non-Violent Property Crime
THEFT	ATTEMPT THEFT	Non-Violent Property Crime
THEFT	DELIVERY CONTAINER THEFT	Non-Violent Property Crime
THEFT	FROM BUILDING	Non-Violent Property Crime
THEFT	FROM COIN-OP MACHINE/DEVICE	Non-Violent Property Crime
THEFT	OVER $500	Non-Violent Property Crime
THEFT	POCKET-PICKING	Non-Violent Property Crime
THEFT	PURSE-SNATCHING	Non-Violent Property Crime
THEFT	RETAIL THEFT	Non-Violent Property Crime
WEAPONS VIOLATION	DEFACE IDENT MARKS OF FIREARM	Other
WEAPONS VIOLATION	POSS FIREARM/AMMO:NO FOID CARD	Other
WEAPONS VIOLATION	RECKLESS FIREARM DISCHARGE	Other
WEAPONS VIOLATION	UNLAWFUL POSS AMMUNITION	Other
WEAPONS VIOLATION	UNLAWFUL POSS OF HANDGUN	Other
WEAPONS VIOLATION	UNLAWFUL POSS OTHER FIREARM	Other
WEAPONS VIOLATION	UNLAWFUL SALE HANDGUN	Other
WEAPONS VIOLATION	UNLAWFUL USE HANDGUN	Other
WEAPONS VIOLATION	UNLAWFUL USE OTHER DANG WEAPON	Other
WEAPONS VIOLATION	UNLAWFUL USE OTHER FIREARM	Other
WEAPONS VIOLATION	UNLAWFUL USE/SALE AIR RIFLE	Other
BATTERY	AGGRAVATED PO: HANDGUN	Violent Crimes
DECEPTIVE PRACTICE	ALTER COINS	Financial Crime/Fraud
HOMICIDE	INVOLUNTARY MANSLAUGHTER	Violent Crimes
INTERFERENCE WITH PUBLIC OFFICER	BRIBERY	Other
INTERFERENCE WITH PUBLIC OFFICER	CONCEALING/AIDING A FUGITIVE	Other
INTERFERENCE WITH PUBLIC OFFICER	OFFICIAL MISCONDUCT	Other
INTIMIDATION	COMPELLING CONFESSION	Other
LIQUOR LAW VIOLATION	EMPLOY MINOR	Other
MOTOR VEHICLE THEFT	"ATTEMPT: CYCLE, SCOOTER, BIKE NO VIN"	Non-Violent Property Crime
NARCOTICS	CALCULATED CANNABIS CONSPIRACY	Other
NARCOTICS	DELIVER CANNABIS TO PERSON <18	Other
NARCOTICS	FAIL REGISTER LIC:CONT SUBS	Other
NARCOTICS	SALE/DEL HYPODERMIC NEEDLE	Other
NON-CRIMINAL (SUBJECT SPECIFIED)	NOTIFICATION OF CIVIL NO CONTACT ORDER	Other
OTHER OFFENSE	FIREARM REGISTRATION VIOLATION	Other
OTHER OFFENSE	MONEY LAUNDERING	Financial Crime/Fraud
OTHER OFFENSE	UNLAWFUL USE OF BODY ARMOR	Other
PROSTITUTION	KEEP PLACE OF PROSTITUTION	Other
PUBLIC PEACE VIOLATION	ARMED VIOLENCE	Violent Crimes
PUBLIC PEACE VIOLATION	INTERFERE W/ EMERGENCY EQUIP	Other
SEX OFFENSE	FORNICATION	Other
THEFT	AGG: FINANCIAL ID THEFT	Financial Crime/Fraud
THEFT	ATTEMPT FINANCIAL IDENTITY THEFT	Financial Crime/Fraud
THEFT	FINANCIAL ID THEFT: OVER $300	Financial Crime/Fraud
THEFT	FINANCIAL ID THEFT:$300 &UNDER	Financial Crime/Fraud
WEAPONS VIOLATION	UNLAWFUL SALE/DELIVERY OF FIREARM AT SCHOOL	Other
